Name,Year
Star Wars: Episode IV - A New Hope,1977
Star Wars: Episode V - The Empire Strikes Back,1980
Star Wars: Episode VI - Return of the Jedi,1983
Sicario,2015
The Martian,2015
Inside Out,2015
Ex Machina,2015
The Hunger Games: Mockingjay Part 2,2015
Ant-Man,2015
Spectre,2015
The Shining,1980
Pulp Fiction,1994
Se7en,1995
Reservoir Dogs,1992
The Matrix,1999
The Silence of the Lambs,1991
American Beauty,1999
Schindler's List,1993
Kill Bill: Vol. 1,2003
Memento,2000
Children of Men,2006
Requiem for a Dream,2000
The Incredibles,2004
Brokeback Mountain,2005
Birdman or (The Unexpected Virtue of Ignorance),2014
Gone Girl,2014
Django Unchained,2012
Sin City,2005
Moneyball,2011
Nightcrawler,2014
The Avengers,2012
Avengers: Age of Ultron,2015
Need for Speed,2014
Jurassic Park,1993
Shame,2011
Interstellar,2014
Batman Begins,2005
The Wolf of Wall Street,2013
127 Hours,2010
Slumdog Millionaire,2008
Cars,2006
Captain Phillips,2013
The Green Mile,1999
The Da Vinci Code,2006
The Hunt,2012
The Hunger Games,2012
Argo,2012
21 Jump Street,2012
This Means War,2012
Gravity,2013
American Hustle,2013
Pacific Rim,2013
Iron Man 3,2013
Frozen,2013
Dallas Buyers Club,2013
The Hobbit: The Desolation of Smaug,2013
The Great Gatsby,2013
Guardians of the Galaxy,2014
Boyhood,2014
Captain America: The Winter Soldier,2014
Edge of Tomorrow,2014
The Imitation Game,2014
Still Alice,2014
The Gift,2015
Spy,2015
Mystic River,2003
Finding Nemo,2003
The Pianist,2002
Life Is Beautiful,1997
Donnie Brasco,1997
Star Wars: Episode VII - The Force Awakens,2015
Battleship,2012
Zombeavers,2014
Kingsman: The Secret Service,2014
Escape from Alcatraz,1979
Carol,2015
My Neighbor Totoro,1988
Yes Man,2008
Bridge of Spies,2015
Iron Sky,2012
The Devil Wears Prada,2006
50/50,2011
The Dark Knight Rises,2012
The Hateful Eight,2015
The Departed,2006
Rust and Bone,2012
To Kill a Mockingbird,1962
A Dangerous Method,2011
Cobain: Montage of Heck,2015
Lazer Team,2015
Catch Me If You Can,2002
Big Hero 6,2014
Deadpool,2016
Rear Window,1954
Vertigo,1958
Hitchcock/Truffaut,2015
Fellini's Roma,1972
The Swan Princess,1994
How to Train Your Dragon,2010
How to Train Your Dragon 2,2014
Amour,2012
Dogma,1999
American History X,1998
The Breakfast Club,1985
Shaun of the Dead,2004
The Grand Budapest Hotel,2014
The Jungle Book,2016
The Wizard of Oz,1939
The Maltese Falcon,1941
12 Angry Men,1957
Ratchet & Clank,2016
Casablanca,1942
On the Waterfront,1954
Captain America: Civil War,2016
Dial M for Murder,1954
All About Eve,1950
Breakfast at Tiffany's,1961
Cat on a Hot Tin Roof,1958
It's a Wonderful Life,1946
Psycho,1960
The Bridge on the River Kwai,1957
A Streetcar Named Desire,1951
The Seven Year Itch,1955
Citizen Kane,1941
Warcraft,2016
Elle,2016
The Nice Guys,2016
The Wave,2015
Jane Eyre,2011
Finding Dory,2016
Frank,2014
Ghostbusters,2016
Straight Outta Compton,2015
Rush,2013
Neighbors 2: Sorority Rising,2016
Jaws,1975
Now You See Me 2,2016
From Dusk Till Dawn,1996
The Bourne Identity,2002
The Bourne Supremacy,2004
A Single Man,2009
Raging Bull,1980
The Bourne Ultimatum,2007
Jason Bourne,2016
War Dogs,2016
City of God,2002
Monster,2003
